countryname,countrycode,gdp1990,gdp1991,gdp1992,gdp1993,gdp1994,gdp1995,gdp1996,gdp1997,gdp1998,gdp1999,gdp2000,gdp2001,gdp2002,gdp2003,gdp2004,gdp2005,gdp2006,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gdp2015,gdp2016,gdp2017
Luxembourg,LUX,57618.0207016709,61765.601039162,62059.6531074295,63804.2857630107,65346.1992438609,65357.5042711999,65369.095826958,68240.7036536885,71471.0566928086,76492.38825008991,81689.8164014783,82766.9890403592,85032.71187990109,85374.33983196619,87209.81939834591,88610.28986860361,91724.1824854209,97864.1951009914,94900.3467241975,89098.73424353841,91743.2938905974,92005.01683614439,89505.1589621295,90656.3804221873,92349.1864861951,93727.3205965797,93940.7957340506,93101.78496070539
"Macao SAR, China",MAC,40365.3455689617,40680.1176393644,44984.8072089545,46310.1302099627,47307.0635821533,47887.1131119683,46731.7711901753,45673.1947224994,42705.3602808614,40824.8413910914,42225.4970843683,42443.3095287083,45126.6565646444,49153.4667882048,60810.5928093325,64199.2591875666,71160.1803609264,79743.38200979801,80762.3996896231,80121.2230228718,98184.6441239407,116752.211556318,124568.599947039,135318.754420627,130755.160705843,100444.593628176,97751.7321632423,104861.851096529
Madagascar,MDG,1653.15890049926,1504.21513243242,1477.69772408654,1464.14896552968,1419.30976241928,1399.81077049851,1385.94494233309,1392.54522486438,1402.25611901404,1422.09630289658,1444.02942941694,1484.40778157891,1257.29355305791,1339.25633149499,1368.18158492365,1389.50091191832,1417.27858258664,1462.85832281912,1523.01987327079,1421.18847235777,1385.68507168039,1367.54308214295,1370.95027466491,1364.34590907905,1372.02096124513,1377.16821269101,1396.6696154848,1416.43950728464
Malawi,MWI,744.197080607013,792.079374710605,727.315221917836,795.667798723989,711.192435246015,820.773967999191,863.341071945675,872.599332109151,879.244276353611,878.13419708973,865.957498009072,800.384183012652,792.4548773431389,815.739203778023,836.934384263959,840.186686318526,854.158164374392,908.3108488928,948.2265195322821,996.245268543493,1032.9628806199,1051.18599619662,1039.75935944407,1062.16494063487,1090.3672076732,1088.70180507011,1083.80142082959,1095.04208875801
Malaysia,MYS,10551.6589585344,11252.4903038441,11940.8557509991,12797.7906290226,13632.7265218462,14601.0747719773,15658.4014853748,16382.6629954781,14800.7940101005,15332.8323451957,16310.0927567851,16039.434015792,16554.9092900807,17165.6800737356,17976.6630931604,18577.0912034576,19251.3354521978,20093.2686944075,20687.1311180109,20009.1992823588,21107.2679372523,21818.8756940003,22590.7915238531,23224.1884369621,24194.6339084542,25016.7308951438,25685.2831376538,26824.0849753415
Maldives,MDV,,,,,,7778.90178640973,8220.522444250781,8744.039406105439,9227.210663160829,9608.665820025821,9768.22998027426,9165.84485965139,9587.73982212985,10622.1199911737,10965.0052181698,9274.060744042081,11390.7350981655,11951.8141101857,12744.7831900058,11508.4022593141,12005.5046183167,12664.990676931,12611.5858744878,13148.7319744621,13737.4141581271,13790.6088416585,14472.3171659697,15168.5588293345
Mali,MLI,1271.79407655675,1390.4007288101,1312.91119931661,1319.27098592209,1332.84931759,1309.96293166915,1366.48624133259,1396.03467846853,1463.14984443734,1505.53585459056,1462.91976687896,1639.20324243351,1639.9260800084,1734.88639397006,1706.95633620869,1760.69393390853,1783.11032640616,1784.87848475457,1808.88762645838,1832.80808109145,1871.98474385098,1874.70303010183,1804.94260440098,1793.72366558663,1865.16062183071,1919.2284214274,1971.08447950848,2016.21879272815
Malta,MLT,16173.0393572567,16727.9406073847,17332.8983038125,17929.5722775834,18766.4519984762,19818.0699401436,20432.0820502825,21344.0495714868,22292.7002299414,23206.9167252412,24618.6999564888,24583.1280833009,25128.3644179717,25598.6463507793,25540.0424361078,26337.964689612,26722.0755306482,27690.5964060265,28431.6703858461,27523.3193393032,28358.7474077005,28612.3965444496,29125.5153669099,30043.7196465608,31839.3948331347,34079.8086945287,35050.9507137363,36294.3776418869
Marshall Islands,MHL,2907.88097177802,2839.76964851633,2986.91128660172,3123.92462449405,3273.0749157263,3511.35142874073,3125.92721005409,2907.97709951056,2812.59039311342,2737.05065916745,2893.83664371888,3047.64124859351,3128.862066115,3136.71111866263,3142.96227922278,3235.77452443644,3280.81341038314,3396.81886309467,3335.7630227933,3274.79420051252,3479.15530340683,3513.29121329955,3626.42477787669,3720.95811631551,3685.46257438709,3665.3753730567,3730.33398854254,3860.18867919691
Mauritania,MRT,2806.7338297681,2781.48061468222,2759.18703757825,2843.77006437929,2681.62268379397,2861.84365626006,2939.72567102433,2735.9639715643,2726.33813912591,2847.7176270967,2751.15554911611,2724.59315092928,2663.96032022904,2743.12811472883,2819.08196932613,2985.69069814797,3449.96015555249,3448.64870958749,3388.83543285186,3259.07635021784,3316.97478042488,3371.99458202082,3462.56176015693,3565.5219994799,3655.38850923143,3601.61434961183,3572.28055028289,3597.63268948014
Mauritius,MUS,7386.83018093069,7631.64202235062,8022.41601161281,8330.76783820663,8554.726249603509,8845.14008176646,9244.359511436949,9648.561473604461,10127.2479401101,10260.3805167393,11077.1563058491,11272.8213181119,11431.4137686636,11764.003780155,12362.168850134,12441.7452188617,13441.201414927,14146.4055914119,14854.6799054544,15306.4098702817,15938.4328884326,16561.7709831855,17093.3211420148,17628.81822569,18255.8995587348,18879.523006347,19590.6421862714,20320.3702960878
Mexico,MEX,13354.5396152842,13643.4949821712,13847.2364047801,13839.9235314677,14248.7479297653,13111.471673168,13759.3314607451,14460.4806941659,14970.2686652278,15155.6391333423,15682.8126744267,15415.2007228311,15218.7939166139,15251.1411260839,15648.3428331755,15791.5375388442,16258.5405705563,16371.7520741277,16293.0318206822,15185.5378750799,15715.9726507563,16049.3647610066,16394.6312025404,16385.0601360587,16615.9799777821,16934.7349727752,17200.1169397908,17330.7319768603
"Micronesia, Fed. Sts.",FSM,2721.05686705971,2850.13850360709,2887.96347401355,3047.31030734923,2970.34819595308,3136.43790627049,3016.74408223724,2829.62977301078,2920.37143500805,2972.37082093047,3119.11544350034,3181.51942864264,3206.05023425746,3273.57657894626,3178.19997197122,3255.20463182086,3266.69921291057,3221.06312805464,3167.71662996746,3220.97630144598,3297.65693360804,3412.90655368719,3343.87635487685,3208.68287379986,3130.054449859,3271.26702149826,3278.34440148013,3363.79381589461
Moldova,MDA,,,,,,2605.43173610128,2457.22392959431,2506.95074792762,2343.88795443004,2268.49903450595,2321.02779552393,2468.12371052615,2666.80599154505,2850.83168356425,3069.37900853074,3307.62033414767,3476.03340968826,3588.62131768509,3875.90436411118,3647.9522995366,3910.86053324527,4179.21480881512,4150.50476317761,4541.86822214577,4762.7808726743,4746.78491111423,4963.39834391968,5190.78177160993
Monaco,MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,5122.53160723357,4605.98066703721,4131.96682048714,3966.20998866418,4020.14105902397,4243.83617517164,4303.98887254293,4435.08231343354,4544.50205789777,4643.48226327334,4655.02260379858,4748.22660229984,4924.35613469186,5214.60300263437,5705.03351665267,6047.13473483827,6483.53499786172,7055.13810569901,7576.48136329836,7367.78598727015,7708.59999413593,8881.484750437279,9788.825021764569,10720.0621460769,11348.6473412397,11411.9421058207,11352.6117138492,11766.9543200678
Montenegro,MNE,,,,,,,,10537.1886835917,11087.308690389,10072.6347640461,10402.9281939082,10475.1274330366,10631.4636959549,10853.8404794741,11311.3461191115,11768.9999778524,12765.256919962,13614.4783966377,14568.8417052904,13694.4387679376,14038.4410057665,14472.4610013404,14069.8601489982,14548.0994307372,14795.6032626126,15290.0719959461,15729.8433787249,16467.2936874573
Morocco,MAR,3912.00572444531,4118.02292754559,3960.06610920777,3863.40785892617,4203.00594043673,3915.21761482867,4337.14326589323,4212.62151128949,4460.46967469518,4453.46660083974,4483.80840635475,4754.19233348353,4843.98989187513,5071.71729952611,5252.30109693447,5361.66283419226,5700.92332732755,5834.01224051593,6106.84544477839,6287.87064386865,6443.25361319481,6688.40260633548,6791.3351346285,6995.93818558948,7078.88148932392,7296.01843294984,7278.05105073613,7476.04364355938
Mozambique,MOZ,378.534273608397,387.023287898838,354.284535412528,370.4504103904,378.275282814723,373.435311731248,459.426475471307,495.421676161829,540.0946166226749,567.5070212929,561.612753539094,615.309821909104,650.152478313952,672.155095927252,703.392186983536,742.424003909612,791.927644260904,826.162668266385,857.526881969907,885.734281982969,917.763831735008,954.799116244546,994.124894206142,1034.58942341359,1079.82386545205,1118.22284449785,1127.35087760718,1136.39388190832
Myanmar,MMR,742.970893451487,728.031674937017,788.388429898514,826.132906284406,877.465847419518,927.02568126727,974.234369873173,1015.88107895931,1061.39962694875,1162.5863258659,1306.44323554326,1438.0328017376,1593.45888607089,1795.59579688634,2020.1248042892,2274.88473607483,2553.18939033366,2840.44800979782,3112.23973581319,3418.40866072166,3721.21144009279,3898.41462716496,4148.69819576985,4457.90132904328,4769.99762200463,5056.85904071061,5304.57064368729,5611.58319816214
Namibia,NAM,5786.74977367967,6041.2787468058,6270.34715280833,5988.29173797861,5914.68590988578,5964.72710522065,5970.66171921363,6036.8875765074,6057.98270777276,6102.0863393349,6178.13918904315,6139.90364297019,6340.3034778113,6527.98144112985,7246.1594275864,7345.46592529376,7774.96967684993,8097.55085080435,8207.70498090165,8113.87411070337,8460.847368123779,8721.255523820661,8967.163151705219,9255.65653184869,9617.3969565111,9973.21183307116,9818.01231103493,9517.3849122833
Nauru,NRU,,,,,,,,,,,,,,,,,,3984.034708854,5384.92234588644,5852.41709857247,6592.43683574598,7339.30436698258,7905.08875483864,10078.3913558214,12561.4463359568,12270.2975919501,12950.5289813432,13669.813248621
Nepal,NPL,1197.94780348911,1241.41755487461,1257.83869442867,1271.0760353368,1339.51972383657,1351.69716220373,1390.76475797186,1429.23895050167,1442.29938277816,1476.88476083853,1539.71867161132,1585.51633331001,1561.27915146334,1597.87727853346,1648.98474917753,1684.33871204043,1720.85344101366,1760.94570813253,1850.0250412581,1914.70596870326,1985.98034060169,2031.08746466776,2103.35363783625,2163.95048949901,2266.18429824848,2314.27488100624,2301.67489664895,2456.3301799674
Netherlands,NLD,32106.7960674436,32631.7597443,32938.5031880417,33121.0647347395,33896.8157471203,34780.8356865457,35855.5522051586,37205.2791267803,38649.905108916,40333.0708408651,41743.2568540699,42309.4171479762,42083.7859823598,42004.6192458555,42708.9484757146,43529.7860842103,44989.1244834065,46551.6650149929,47158.6631704948,45149.1280566733,46101.7545025257,46599.02103045,45948.5362831563,45753.6324046841,46238.2097020059,46935.6049728766,47709.7212052938,48789.135711559
New Caledonia,NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,23671.2730077945,22181.3226322416,22229.4659377406,23413.1863679013,24309.2253595657,25052.3544588234,25487.0189120063,25911.4771668286,25956.3919478104,27161.3948246786,27620.4728000552,28500.9526364051,29427.5946162384,30162.4994149813,30689.1867954499,31351.8359214992,31768.8637917327,32657.5800830811,31881.1215825182,32168.7713241048,32119.2155430773,32734.5366666969,33369.2694611882,33782.1008208516,34455.3312172237,35309.8237244851,35776.5717269995,36012.5670498034
